"","Fishing_ISO3","Fishing_ME","avg_Fished_ME","med_Fished_ME","avg_diff_me","med_diff_me","Fishing_FMI","avg_Fished_FMI","med_Fished_FMI","avg_diff_fmi","med_diff_fmi","Fishing_FMI_wadj","avg_Fished_FMI_wadj","med_Fished_FMI_wadj","avg_diff_fmi_wadj","med_diff_fmi_wadj"
"1","AGO",59,49,49,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ANT",70,49,49,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ARE",59.5,49,49,10.5,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ARG",69,49,49,20,20,71,49,49,22,22,70,49,49,21,21
"5","ASM",78,49,49,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AUS",73,49,49,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","BEN",59,49,49,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","BGR",63,55.25,55.5,7.75,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","BHS",67,49,49,18,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","BLZ",70,49,49,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","BMU",73,49,49,24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","BRA",62,49,49,13,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","BRB",60,49,49,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","CAN",68,58.375,58.375,9.625,9.625,82,49,49,33,33,81,49,49,32,32
"15","CHL",69,49,49,20,20,64,49,49,15,15,66,49,49,17,17
"16","CHN",72,58.6383928571429,57.5,13.3616071428571,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","CIV",53,49,49,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","COD",54,49,49,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","COG",53,49,49,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","COK",72,49,49,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","COL",58.5,49,49,9.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","COM",53,49,49,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","CPV",55,49,49,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","CRI",52,49,49,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","CUB",73,54,54,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","CYM",69,49,49,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","CYP",66,60.3888888888889,61.5,5.61111111111111,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","DEU",65,59.8560606060606,62.3333333333333,5.14393939393939,2.66666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","DNK",68.5,63.2333333333333,65,5.26666666666667,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ECU",61,49,49,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","EGY",66,56.25,55.5,9.75,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ESP",62.3333333333333,55.3983050847458,54,6.93502824858757,8.33333333333334,71,45,49,26,22,68,45.6666666666667,49,22.3333333333333,19
"33","EST",67,59.5185185185185,63,7.48148148148148,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","FIN",64,58.5,58.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","FJI",52,49,49,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","FLK",72,49,49,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","FRA",68.25,59.0465571205008,60,9.20344287949922,8.25,73,58,54,15,19,71,57.3333333333333,55,13.6666666666667,16
"38","FRO",74,64.69,67.75,9.31,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","FSM",54,47,48,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","GAB",67,56,56,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","GBR",75.5,64.5637860082305,66.5,10.9362139917695,9,76,64.3333333333333,71,11.6666666666667,5,75,62.6666666666667,68,12.3333333333333,7
"42","GEO",68,58,58,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","GHA",52,49,49,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","GIN",54,50.7777777777778,49,3.22222222222222,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","GMB",61,49,49,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","GNB",58,49,49,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","GRC",64,58.5416666666667,61,5.45833333333333,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","GRD",59,49,49,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","GRL",71,59,59,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","GUM",75,49,49,26,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","HND",57,49,49,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","IDN",55,49,49,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","IND",59.5,53.25,53.5,6.25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","IRL",64,57.8148148148148,60.1666666666667,6.18518518518518,3.83333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","IRN",69,57.6842105263158,57,11.3157894736842,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","IRQ",57,52,53,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","ISL",68,59.5833333333333,64,8.41666666666667,4,90,74.5,80,15.5,10,90,73.75,79,16.25,11
"58","ISR",69,58.6,61,10.4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","ITA",61,54.4615384615385,53.5,6.53846153846154,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","JPN",56,51.48,52,4.52,4,63,50.875,49,12.125,14,61,51.25,49,9.75,12
"61","KEN",65,49,49,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","KHM",68,49,49,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","KIR",60,49,49,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64","KNA",66,60.5,60.5,5.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","KOR",72,60.2958333333333,60,11.7041666666667,12,68,42,42,26,26,67,43,43,24,24
"66","KWT",68,49,49,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","LBR",52,49,49,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","LKA",59,49,49,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","LTU",63,56.8809523809524,58,6.11904761904762,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","LVA",65,58.9019607843137,62.3333333333333,6.09803921568627,2.66666666666666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","MAR",66,60,60,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","MDG",51,49,49,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","MEX",57,49,49,8,8,58,49,49,8.99999999999999,8.99999999999999,58,49,49,8.99999999999999,8.99999999999999
