Fishing_ISO3,Year,Total_fished,disp_fished,unequal_fish,unequal_fish_hs,unequal_fishing_in_waters,rev_fish,rev_fishing_in_waters,unequal_fish_eez,prop_disp,prop_unequal_disp,prop_rev_disp
AGO,1976,17454.9405031,798.6619831,NA,NA,NA,NA,NA,NA,0.04575564052814489,NA,NA
AGO,1977,33665.009902000005,6238.350972,NA,NA,NA,NA,NA,NA,0.1853066727192433,NA,NA
AGO,1978,20534.8626983,537.2317883,NA,NA,NA,NA,NA,NA,0.02616193719885331,NA,NA
AGO,1979,16934.4023964,311.9005064,NA,NA,NA,NA,NA,NA,0.018418158438605742,NA,NA
AGO,1980,15234.005797221,129.147157221,NA,NA,NA,NA,NA,NA,0.008477557310931253,NA,NA
AGO,1981,13708.604196104,70.447796104,NA,NA,NA,NA,NA,NA,0.005138947415523263,NA,NA
AGO,1982,16042.405502204001,84.516412204,NA,NA,NA,NA,NA,NA,0.0052683129217989556,NA,NA
AGO,1983,17216.20200226,41.05012226,NA,NA,NA,NA,NA,NA,0.002384388975838648,NA,NA
AGO,1984,19771.2011956,111.8392556,NA,NA,NA,NA,NA,NA,0.005656674801573987,NA,NA
AGO,1985,20758.19430218,123.60131218000001,NA,NA,NA,NA,NA,NA,0.005954338338909351,NA,NA
AGO,1986,22306.00009849,151.74466848999998,NA,NA,NA,NA,NA,NA,0.0068028632574189,NA,NA
AGO,1987,10216.20300012,213.28487012,NA,NA,NA,NA,NA,NA,0.02087711746893584,NA,NA
AGO,1988,20342.3998014,403.4070914,NA,NA,NA,NA,NA,NA,0.019830850604570106,NA,NA
AGO,1989,31729.2051044,350.6081744,NA,NA,NA,NA,NA,NA,0.011050014434536841,NA,NA
AGO,1990,8319.402899571001,125.428580571,NA,NA,NA,NA,NA,NA,0.015076632552255385,NA,NA
AGO,1991,5345.395499759999,92.46800576,NA,NA,NA,NA,NA,NA,0.017298627531704937,NA,NA
AGO,1992,7867.599699949,3.973421949,NA,NA,NA,NA,NA,NA,5.050361101907303e-4,NA,NA
AGO,1993,4757.40120002,45.23111202,NA,NA,NA,NA,NA,NA,0.009507525247147507,NA,NA
AGO,1994,6007.20080029,23.59476529,NA,NA,NA,NA,NA,NA,0.003927747061303653,NA,NA
AGO,1995,9744.198499626,8.146113626,NA,NA,NA,NA,NA,NA,8.359962726860155e-4,NA,NA
AGO,1996,10986.199404519999,35.30969452,NA,NA,NA,NA,NA,NA,0.003214004517838326,NA,NA
