Fishing_ISO3,Fished_ISO3,Year,Total_fished_where,disp_fished,unequal_disp_fished,unequal_disp_fished_hs,unequal_fishing_in_waters,rev_disp_fished,rev_fishing_in_waters,Fishing_ME,Fished_ME
AGO,COG,1985,41.38535448,41.38535448,NA,NA,NA,NA,NA,NA,NA
AGO,COG,1986,66.45303131,66.45303131,NA,NA,NA,NA,NA,NA,NA
AGO,COG,1987,84.23304342,84.23304342,NA,NA,NA,NA,NA,NA,NA
AGO,COG,1988,105.6261894,105.6261894,NA,NA,NA,NA,NA,NA,NA
AGO,COG,1989,106.6272831,106.6272831,NA,NA,NA,NA,NA,NA,NA
AGO,COG,1990,0.254363171,0.254363171,NA,NA,NA,NA,NA,NA,NA
AGO,HighSeas,1976,798.6619831,798.6619831,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1977,6238.350972,6238.350972,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1978,537.2317883,537.2317883,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1979,311.9005064,311.9005064,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1980,124.6381028,124.6381028,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1981,65.93874146,65.93874146,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1982,82.84806141,82.84806141,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1983,41.05012226,41.05012226,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1984,111.8392556,111.8392556,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1985,82.2159577,82.2159577,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1986,85.29163718,85.29163718,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1987,129.0518267,129.0518267,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1988,297.780902,297.780902,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1989,243.9808913,243.9808913,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1990,125.1742174,125.1742174,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1991,92.46800576,92.46800576,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1992,3.973421949,3.973421949,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1993,45.23111202,45.23111202,NA,NA,NA,NA,NA,NA,49
AGO,HighSeas,1994,23.59476529,23.59476529,NA,NA,NA,NA,NA,NA,49
