"","Fishing_ISO3","Year","Total_fished","disp_fished","unequal_fish","unequal_fish_hs","unequal_fishing_in_waters","rev_fish","rev_fishing_in_waters","unequal_fish_eez","prop_disp","prop_unequal_disp","prop_rev_disp"
"1","ABW",1976,649.9963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","ABW",1977,699.9955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","ABW",1978,769.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","ABW",1979,769.9958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ABW",1980,769.9961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","ABW",1981,769.9964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ABW",1982,769.9963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ABW",1983,769.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ABW",1984,769.9963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ABW",1985,769.996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","ABW",1986,699.9964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","ABW",1987,619.9968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","ABW",1988,549.9969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","ABW",1989,479.9977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","ABW",1990,419.9976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","ABW",1991,349.9978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","ABW",1992,299.9979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","ABW",1993,259.9992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","ABW",1994,259.9995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","ABW",1995,140,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","ABW",1996,159.9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABW",1997,204.9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","ABW",1998,182.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ABW",1999,174.9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","ABW",2000,163.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ABW",2001,163.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","ABW",2002,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","ABW",2003,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","ABW",2004,162.0001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ABW",2005,162.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ABW",2006,144.9999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","ABW",2007,158.9994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","ABW",2008,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","ABW",2009,162.9997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","ABW",2010,153.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","ABW",2011,166.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","ABW",2012,138.0003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","ABW",2013,142.0009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","ABW",2014,142.0008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","ABW",2015,142.0002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","AGO",1976,17454.9405031,798.6619831,798.6619831,798.6619831,326361.408035266,NA,5165.0433927,0,0.0457556405281449,1,NA
"42","AGO",1977,33665.009902,6238.350972,6238.350972,6238.350972,1178944.47167518,NA,11720.8095574,0,0.185306672719243,1,NA
"43","AGO",1978,20534.8626983,537.2317883,537.2317883,537.2317883,1253211.29419035,NA,22513.29771271,0,0.0261619371988533,1,NA
"44","AGO",1979,16934.4023964,311.9005064,311.9005064,311.9005064,1118756.74757889,NA,4825.41984602,0,0.0184181584386057,1,NA
"45","AGO",1980,15234.005797221,129.147157221,129.147157221,124.6381028,1022929.23377356,NA,2194.933485977,4.50905442099999,0.00847755731093125,1,NA
