"","Fishing_ISO3","Fished_ISO3","Year","Total_fished"
"1","ASM","ASM",1950,0.2001
"2","ARG","ARG",1950,43900.805
"3","AUS","NFK",1950,26.26418875
"4","BHS","BHS",1950,599.9998
"5","BHR","BHR",1950,800.0002
"6","BEL","BEL",1950,5887.00351
"7","BEL","DEU",1950,2856.079939
"8","BRA","HighSeas",1950,149.1699681
"9","BRA","BRA",1950,119151.7696
"10","BRN","BRN",1950,499.9996
"11","CMR","CMR",1950,12000.2014
"12","CAN","HighSeas",1950,13277.97869
"13","CPV","CPV",1950,900.0003
"14","CHL","HighSeas",1950,641.1332668
"15","CHN","CHN",1950,715494.3548
"16","COL","COL",1950,1500.5991
"17","CYP","CYP",1950,499.9998
"18","BEN","BEN",1950,999.9978
"19","DNK","CAN",1950,13857.13034
"20","DNK","ISL",1950,1812.891068
"21","DMA","DMA",1950,600.0009
"22","SLV","SLV",1950,1699.9973
"23","FLK","FLK",1950,0.2002
"24","FIN","FIN",1950,17030.59208
"25","FIN","DEU",1950,30.1804991
"26","FRA","CAN",1950,97526.34491
"27","FRA","CPV",1950,20.66696496
"28","FRA","COG",1950,5.441581379
"29","FRA","COD",1950,0.544632927
"30","FRA","FRA",1950,113214.9229
"31","FRA","GHA",1950,21.7201445
"32","FRA","GRC",1950,300.9365204
"33","FRA","GRL",1950,22866.29145
"34","FRA","GLP",1950,33.09422109
"35","FRA","GIN",1950,12.80129698
"36","FRA","ISL",1950,188.4284279
"37","FRA","MLT",1950,38.12758233
"38","FRA","MRT",1950,25.40715537
"39","FRA","MCO",1950,0.177540446
"40","FRA","NLD",1950,9511.556647
"41","FRA","PRT",1950,95.4168707
"42","FRA","REU",1950,3.459966959
"43","FRA","SEN",1950,16.84368907
"44","FRA","ESH",1950,32.2505184
"45","FRA","SJM",1950,272.1653028
"46","FRA","SYR",1950,8.515277784
"47","FRA","TUR",1950,337.8091464
"48","DJI","DJI",1950,500.003
"49","GMB","GMB",1950,1943.947656
"50","DEU","BEL",1950,247.1120872
"51","DEU","FIN",1950,8511.120789
"52","DEU","DEU",1950,148933.5717
"53","DEU","NOR",1950,88860.80837
"54","DEU","RUS",1950,9562.595104
"55","GHA","HighSeas",1950,220.6948847
"56","GHA","GHA",1950,14779.29982
"57","GIB","GIB",1950,0.9998
"58","KIR","KIR",1950,999.9999
"59","GRL","HighSeas",1950,346.9402173
"60","GRL","GRL",1950,25353.05968
"61","GLP","GLP",1950,1500.0078
"62","GTM","GTM",1950,200.0001
"63","ISL","FRO",1950,15.48022849
"64","ISL","GRL",1950,1358.477268
"65","ITA","ALB",1950,452.9954262
"66","ITA","COD",1950,24.57546251
"67","ITA","CYP",1950,412.8317615
"68","ITA","GNQ",1950,88.37845906
"69","ITA","GEO",1950,274.3220609
"70","ITA","GRC",1950,4009.630503
"71","ITA","CIV",1950,68.55405545
"72","ITA","MCO",1950,1.906692487
"73","ITA","ESH",1950,378.6680314
"74","ITA","SYR",1950,78.47481297
"75","ITA","TUN",1950,4438.41165
"76","DZA","DZA",1950,27200.4013
"77","AGO","HighSeas",1950,800.027556
"78","AUS","AUS",1950,28274.08946
"79","AUS","NRU",1950,0.467337857
"80","AUS","PNG",1950,75.96650568
"81","BGD","BGD",1950,24000.0013
"82","BEL","HighSeas",1950,7.543315956
"83","BEL","DNK",1950,3012.815761
"84","BEL","FRA",1950,1391.013196
"85","BEL","GRL",1950,93.75849191
"86","BEL","ISL",1950,9726.227618
"87","BEL","GBR",1950,17245.61627
"88","BMU","BMU",1950,499.9753
"89","VGB","VGB",1950,99.9999
"90","MMR","MMR",1950,31100.0022
"91","ERI","ERI",1950,3000.0004
"92","CYM","CYM",1950,0.2001
"93","CHN","HighSeas",1950,231.9126667
"94","COD","COD",1950,1000.0001
"95","CUB","HighSeas",1950,428.7409243
"96","DNK","HighSeas",1950,782.3949476
"97","DNK","DNK",1950,200352.7545
"98","DNK","LVA",1950,745.6464737
"99","DNK","RUS",1950,1015.52079
"100","DNK","MTQ",1950,3.655677711
"101","DNK","SWE",1950,6077.941777
"102","DNK","GBR",1950,6152.828074
"103","GNQ","GNQ",1950,100.0001
"104","FIN","EST",1950,204.3933898
"105","FIN","FRO",1950,0.329536734
"106","FIN","GRL",1950,5.790960206
"107","FIN","LVA",1950,193.104341
"108","FIN","LTU",1950,35.64193587
"109","FIN","POL",1950,106.3786637
"110","FRA","AGO",1950,3.91905659
"111","FRA","BEL",1950,191.862377
"112","FRA","BGR",1950,52.27271711
"113","FRA","MYT",1950,1.040795339
"114","FRA","DNK",1950,7358.715672
"115","FRA","DJI",1950,2.113626164
"116","FRA","PSE",1950,1.871752279
"117","FRA","LBR",1950,23.61202947
"118","FRA","LBY",1950,402.2583262
"119","FRA","MTQ",1950,13.78997534
"120","FRA","MAR",1950,77.7452639
"121","FRA","RUS",1950,2688.723638
"122","FRA","MTQ",1950,659.4956091
"123","FRA","SLE",1950,13.30373191
"124","FRA","TGO",1950,1.662943793
"125","FRA","UKR",1950,1286.712201
"126","FRA","GBR",1950,45133.69133
"127","GUF","GUF",1950,399.9998
"128","PYF","PYF",1950,1499.9999
"129","DEU","CAN",1950,3219.93416
"130","DEU","FRO",1950,1418.962919
"131","DEU","LTU",1950,344.8618073
"132","DEU","NLD",1950,13921.3066
"133","DEU","POL",1950,1265.188026
"134","DEU","SJM",1950,1166.652521
"135","GRC","GRC",1950,47000.0002
"136","GUM","HighSeas",1950,0.049847886
"137","GIN","GIN",1950,899.9999
"138","HTI","HTI",1950,2000.1819
"139","ISL","NOR",1950,456.9335254
"140","IND","IND",1950,529817.1913
"141","IRQ","HighSeas",1950,123.5195735
"142","IRL","IRL",1950,11653.95114
"143","IRL","GBR",1950,1216.697035
"144","ITA","DZA",1950,1441.778241
"145","ITA","BIH",1950,13.7043719
"146","ITA","BGR",1950,409.7190261
"147","ITA","HRV",1950,2901.658919
"148","ITA","GAB",1950,211.2982661
"149","ITA","GMB",1950,51.81292076
"150","ITA","PSE",1950,23.103787
"151","AGO","AGO",1950,133600.1738
"152","AUS","HighSeas",1950,11.46960877
"153","SLB","SLB",1950,1000.0002
"154","BGR","BGR",1950,3500.0019
"155","KHM","KHM",1950,3399.9996
"156","CAN","CAN",1950,890940.4515
"157","CHL","CHL",1950,84318.86983
"158","CHN","HKG",1950,128.9515941
"159","CHN","MAC",1950,244.7802394
"160","COM","COM",1950,835.203
"161","MYT","MYT",1950,0.2002
"162","COK","COK",1950,700.2016
"163","CRI","CRI",1950,500
"164","CUB","CUB",1950,9371.255576
