country,max_yr,min_yr,total_years,mov_avg_fished,mov_avg_disp,mov_avg_unequal,mov_avg_unequal_hs,mov_avg_unequal_eez,mov_avg_unequal_fishing_in_waters,mov_avg_prop_disp,mov_avg_prop_unequal,time
ABW,2015,1976,39,706.6626,,,,,,,,1976
ABW,2015,1976,39,722.4959,,,,,,,,1977
ABW,2015,1976,39,731.99594,,,,,,,,1978
ABW,2015,1976,39,755.99596,,,,,,,,1979
ABW,2015,1976,39,769.99612,,,,,,,,1980
ABW,2015,1976,39,769.99612,,,,,,,,1981
ABW,2015,1976,39,769.99622,,,,,,,,1982
ABW,2015,1976,39,769.9962,,,,,,,,1983
ABW,2015,1976,39,755.9962,,,,,,,,1984
ABW,2015,1976,39,725.9963,,,,,,,,1985
ABW,2015,1976,39,681.99648,,,,,,,,1986
ABW,2015,1976,39,623.99676,,,,,,,,1987
ABW,2015,1976,39,553.99708,,,,,,,,1988
ABW,2015,1976,39,483.99736,,,,,,,,1989
ABW,2015,1976,39,419.99758,,,,,,,,1990
ABW,2015,1976,39,361.99804,,,,,,,,1991
ABW,2015,1976,39,317.9984,,,,,,,,1992
ABW,2015,1976,39,261.99888,,,,,,,,1993
ABW,2015,1976,39,223.99926,,,,,,,,1994
ABW,2015,1976,39,204.99966,,,,,,,,1995
ABW,2015,1976,39,189.39986,,,,,,,,1996
ABW,2015,1976,39,172.39994,,,,,,,,1997
ABW,2015,1976,39,176.99998,,,,,,,,1998
ABW,2015,1976,39,177.60008,,,,,,,,1999
ABW,2015,1976,39,169.2001,,,,,,,,2000
ABW,2015,1976,39,164.80006,,,,,,,,2001
ABW,2015,1976,39,162.2001,,,,,,,,2002
ABW,2015,1976,39,162.0001,,,,,,,,2003
ABW,2015,1976,39,158.40004,,,,,,,,2004
ABW,2015,1976,39,157.59992,,,,,,,,2005
ABW,2015,1976,39,155.79992,,,,,,,,2006
ABW,2015,1976,39,155.99984,,,,,,,,2007
ABW,2015,1976,39,154.19984,,,,,,,,2008
ABW,2015,1976,39,158.39992,,,,,,,,2009
ABW,2015,1976,39,154.2001,,,,,,,,2010
ABW,2015,1976,39,152.40028,,,,,,,,2011
ABW,2015,1976,39,148.2005,,,,,,,,2012
ABW,2015,1976,39,146.0005,,,,,,,,2013
ABW,2015,1976,39,141.00055,,,,,,,,2014
ABW,2015,1976,39,142.000633333333,,,,,,,,2015
AGO,2015,1976,39,23884.9377011333,2524.7482478,2524.7482478,2524.7482478,0,919505.724633599,0.0857414168154137,1,1976
AGO,2015,1976,39,22147.30387495,1971.53631245,1971.53631245,1971.53631245,0,969318.480369922,0.0689106022212117,1,1977
AGO,2015,1976,39,20764.6442594042,1603.0584814042,1603.0584814042,1602.15667052,0.901810884199998,980040.631050649,0.0568239932391556,1,1978
AGO,2015,1976,39,20015.376998005,1457.415644005,1457.415644005,1455.612022192,1.803621813,1105815.28178004,0.0487006546166313,1,1979
AGO,2015,1976,39,16490.8561180458,226.6487320458,226.6487320458,224.511440074,2.1372919718,1084064.68978439,0.0126929826571425,1,1980
AGO,2015,1976,39,15827.1239788378,127.4123988378,127.4123988378,125.275106866,2.1372919718,1029275.05387935,0.00793747301253956,1,1981
AGO,2015,1976,39,16394.4837386778,87.4001486778,87.4001486778,85.262856706,2.1372919718,1026373.49039185,0.00538517628513322,1,1982
AGO,2015,1976,39,17499.3214396696,86.2909796696,86.2909796696,76.778427686,9.5125519836,1040118.04646467,0.00488053249072884,1,1983
AGO,2015,1976,39,19218.8006201468,102.5503541468,102.5503541468,80.64900683,21.9013473168,1066883.87954779,0.00521331565910797,1,1984
AGO,2015,1976,39,18053.56011973,128.30404573,128.30404573,89.889759888,38.414285842,1111959.22951664,0.00833507656853534,1,1985
AGO,2015,1976,39,18678.799679558,200.775439558,200.775439558,141.235915836,59.539523722,1183031.04611982,0.0118243688942816,1,1986
AGO,2015,1976,39,21070.400461318,248.529223318,248.529223318,167.664242976,80.864980342,1155354.11046101,0.0129030368208742,1,1987
AGO,2015,1976,39,18582.6421807962,248.8946769962,248.8946769962,176.255894916,72.6387820802,1045504.42420718,0.0147274956635434,1,1988
AGO,2015,1976,39,15190.5212610502,237.0393444502,237.0393444502,177.691168632,59.3481758182,914759.948808143,0.0168266485184006,1,1989
AGO,2015,1976,39,14720.800601016,195.177054816,195.177054816,152.6754876818,42.5015671342,778218.748235365,0.0127522322466516,1,1990
AGO,2015,1976,39,11603.80088074,123.54185894,123.54185894,102.1655296858,21.3763292542,609048.902994269,0.0106875671751671,1,1991
AGO,2015,1976,39,6459.400019918,58.139177118,58.139177118,58.0883044838,0.0508726341999988,492422.404658123,0.00926311370052044,1,1992
AGO,2015,1976,39,6744.359139929,34.682683729,34.682683729,34.682683729,0,462686.529235063,0.00641498644460656,1,1993
AGO,2015,1976,39,7872.519920881,23.251021481,23.251021481,23.251021481,0,437810.749822109,0.00359806184183325,1,1994
AGO,2015,1976,39,10533.1997010032,28.2505052032,28.2505052032,28.2505052032,0,371270.878751055,0.0037707388338145,1,1995
AGO,2015,1976,39,13125.7198609992,24.005353499,24.005353499,24.005353499,0,341175.682995501,0.00233654223048124,1,1996
AGO,2015,1976,39,17836.079680428,18.268436535,18.268436535,18.268436535,0,344411.1393746,0.00136007839587225,1,1997
AGO,2015,1976,39,20612.6404207848,30.658025981,30.658025981,30.658025981,0,361478.168794597,0.00176165690878884,1,1998
AGO,2015,1976,39,22419.8798993408,212.050769176,212.050769176,212.050769176,0,407234.490922305,0.0104585252281383,1,1999
AGO,2015,1976,39,22110.7187996688,264.195894586,264.195894586,264.195894586,0,454332.657238254,0.013142521932744,1,2000
AGO,2015,1976,39,25558.5288997888,374.2140617888,374.2140617888,374.2140617888,0,490584.43419954,0.0151725347104463,1,2001
AGO,2015,1976,39,25738.527319582,427.022563582,427.022563582,427.022563582,0,528489.567562818,0.0169061627085074,1,2002
AGO,2015,1976,39,25106.80494022,443.52001022,443.52001022,443.52001022,0,573412.816123348,0.0177875367911184,1,2003
AGO,2015,1976,39,27813.33846088,451.17972888,451.17972888,451.17972888,0,575716.159922121,0.0149506310504242,1,2004
AGO,2015,1976,39,31284.89968032,568.17300832,568.17300832,568.17300832,0,622526.274112205,0.0169778351185883,1,2005
AGO,2015,1976,39,29132.48941924,434.25176324,434.25176324,434.25176324,0,661456.810546872,0.0135151727962893,1,2006
AGO,2015,1976,39,28050.03852076,886.98266276,886.98266276,886.98266276,0,658840.501030164,0.0319661759292098,1,2007
AGO,2015,1976,39,28962.36011944,1364.03636144,1364.03636144,1364.03636144,0,647920.474590038,0.0507758073784306,1,2008
AGO,2015,1976,39,26288.31273966,1354.83010966,1354.83010966,1354.83010966,0,659769.483442722,0.0534749336666587,1,2009
AGO,2015,1976,39,23239.46794038,1413.80447038,1413.80447038,1413.80447038,0,673969.595615858,0.0593069998008762,1,2010
AGO,2015,1976,39,23021.26838194,1729.20180194,1729.20180194,1729.20180194,0,656826.250506689,0.0730134812303407,1,2011
