"","Export_ISO3","ME_score"
"1","AGO",59
"2","AIA",67
"3","ALB",68
"4","ANT",70
"5","ARE",59.5
"6","ARG",69
"7","ASM",78
"8","ATG",63
"9","AUS",73
"10","BEL",62
"11","BEN",59
"12","BGD",64
"13","BGR",63
"14","BHR",68
"15","BHS",67
"16","BLZ",70
"17","BMU",73
"18","BRA",62
"19","BRB",60
"20","CAN",68
"21","CHL",69
"22","CHN",72
"23","CIV",53
"24","CMR",49
"25","COD",54
"26","COG",53
"27","COK",72
"28","COL",58.5
"29","COM",53
"30","CPV",55
"31","CRI",52
"32","CUB",73
"33","CYM",69
"34","CYP",66
"35","DEU",65
"36","DJI",43
"37","DMA",66
"38","DNK",68.5
"39","DOM",63
"40","DZA",69
"41","ECU",61
"42","EGY",66
"43","ERI",64
"44","ESH",60
"45","ESP",62.3333333333333
"46","EST",67
"47","FIN",64
"48","FJI",52
"49","FLK",72
"50","FRA",68.25
"51","FRO",74
"52","FSM",54
"53","GAB",67
"54","GBR",75.5
"55","GEO",68
"56","GGY",66
"57","GHA",52
"58","GIB",67
"59","GIN",54
"60","GMB",61
"61","GNB",58
"62","GNQ",60
"63","GRC",64
"64","GRD",59
"65","GRL",71
"66","GTM",49
"67","GUF",60
"68","GUM",75
"69","GUY",59
"70","HND",57
"71","HRV",52
"72","HTI",57
"73","IDN",55
"74","IMN",56
"75","IND",59.5
"76","IRL",64
"77","IRN",69
"78","IRQ",57
"79","ISL",68
"80","ISR",69
"81","ITA",61
"82","JAM",59
"83","JEY",61
"84","JOR",53
"85","JPN",56
"86","KEN",65
"87","KHM",68
"88","KIR",60
"89","KNA",66
"90","KOR",72
"91","KWT",68
"92","LBN",61
"93","LBR",52
"94","LBY",46
"95","LCA",68
"96","LKA",59
"97","LTU",63
"98","LVA",65
"99","MAR",66
"100","MDG",51
"101","MDV",57
"102","MEX",57
"103","MHL",56
"104","MLT",62
"105","MMR",51
"106","MNP",78
"107","MOZ",52
"108","MRT",58
"109","MSR",62
"110","MTQ",71
"111","MUS",51
"112","MYS",63.5
"113","MYT",57
"114","NAM",77
"115","NCL",63
"116","NGA",59
"117","NIC",57
"118","NIU",64
"119","NLD",66.5
"120","NOR",69
"121","NRU",54
"122","NZL",71
"123","OMN",49
"124","PAK",62
"125","PAN",57.5
"126","PER",68
"127","PHL",64
"128","PLW",47
"129","PNG",59
"130","POL",67
"131","PRI",67
"132","PRK",49
"133","PRT",60.3333333333333
"134","PYF",65
"135","QAT",57
"136","REU",55
"137","ROU",64
"138","RUS",67.75
"139","SAU",54
"140","SCG",77
"141","SDN",60
"142","SEN",57
"143","SLB",51
"144","SLE",63
"145","SLV",70
"146","SOM",52
"147","SPM",65
"148","STP",47
"149","SUR",62
"150","SVN",64
"151","SWE",54
"152","SYC",51
"153","SYR",66
"154","TCA",64
"155","TGO",51
"156","THA",69
"157","TKL",55
"158","TON",69
"159","TTO",61
"160","TUN",70
"161","TUR",67
"162","TUV",41
"163","TWN",63
"164","TZA",68
"165","UKR",65
"166","URY",67
"167","USA",69.75
"168","VCT",49
"169","VEN",58
"170","VGB",65
"171","VIR",73
"172","VNM",64
"173","VUT",51
"174","WLF",56
"175","WSM",73
"176","YEM",63
"177","ZAF",67
