"","ISO3","imports","unequal_imports","Total_fished","disp_fished","unequal_fish","unequal_fish_hs","unequal_fishing_in_waters","unequal_fish_eez","Total_fished_fmi_wadj","disp_fished_fmi_wadj","coi_disp_fished_fmi_wadj","unequal_fish_fmi_wadj","unequal_fish_hs_fmi_wadj","unequal_fishing_in_waters_fmi_wadj","unequal_fish_eez_fmi_wadj","Total_fished_fmi","disp_fished_fmi","coi_disp_fished_fmi","unequal_fish_fmi","unequal_fish_hs_fmi","unequal_fishing_in_waters_fmi","unequal_fish_eez_fmi","ME_score","ME_quant","FMI_weight_adj","FMI","Country.Name"
"1","ABW",187.739998961985,NA,158.39992,NA,NA,0,NA,NA,158.39992,NA,NA,NA,0,NA,NA,158.39992,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,"Aruba"
"2","AFG",0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Afghanistan"
"3","AGO",21367.8490075808,532.911882240946,26288.31273966,1354.83010966,1354.83010966,1354.83010966,659769.483442722,0,26288.31273966,1354.83010966,NA,NA,0,NA,NA,26288.31273966,1354.83010966,NA,NA,0,NA,NA,59,2,NA,NA,"Angola"
"4","ALB",4110.99833902775,4039.81833658053,3138.39806,NA,NA,0,NA,NA,3138.39806,NA,NA,NA,0,NA,NA,3138.39806,NA,NA,NA,0,NA,NA,68,5,NA,NA,"Albania"
"5","AND",234.900000750273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Andorra"
"6","ANT",701.550004431046,699.975004405714,15349.273601875,15131.19344925,15131.19344925,12104.9547594,NA,0,15349.273601875,15131.19344925,NA,NA,0,NA,NA,15349.273601875,15131.19344925,NA,NA,0,NA,NA,70,5,NA,NA,"Netherlands Antilles"
"7","ARE",55307.0774902809,23026.4560469146,80499.60278,21950.834264,21950.834264,21950.834264,NA,0,80499.60278,21950.834264,NA,NA,0,NA,NA,80499.60278,21950.834264,NA,NA,0,NA,NA,59.5,2,NA,NA,"United Arab Emirates"
"8","ARG",64089.3107033059,48897.6824546415,872988.093924,54880.305944,54880.305944,54880.305944,NA,0,872988.093924,54880.305944,54880.305944,54880.305944,54880.305944,NA,0,872988.093924,54880.305944,54880.305944,54880.305944,54880.305944,NA,0,69,5,70,71,"Argentina"
"9","ARM",1025.06039815724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Armenia"
"10","ATG",314.545332955872,42.0566668723768,2824.2389,NA,NA,0,NA,NA,2824.2389,NA,NA,NA,0,NA,NA,2824.2389,NA,NA,NA,0,NA,NA,63,3,NA,NA,"Antigua & Barbuda"
