"","Import_ISO3","Export_ISO3","Year","imports","unequal_imports","ME_score_exporter","ME_exporter_quant","ME_score_importer","ME_improter_quant"
"1","ABW","ANT",1998,1.10000002384186,NA,70,5,NA,NA
"2","ABW","ANT",2005,110.8000010252,NA,70,5,NA,NA
"3","ABW","CIV",2008,99.7999998927116,NA,53,1,NA,NA
"4","ABW","CIV",2009,305.199999585748,NA,53,1,NA,NA
"5","ABW","COL",1998,1243.49996510148,NA,58.5,2,NA,NA
"6","ABW","ESP",1984,822.899993605912,NA,62.3333333333333,3,NA,NA
"7","ABW","ESP",1985,1174.50001779199,NA,62.3333333333333,3,NA,NA
"8","ABW","ESP",1986,2355.9999832809,NA,62.3333333333333,3,NA,NA
"9","ABW","ESP",1987,1517.00000303984,NA,62.3333333333333,3,NA,NA
"10","ABW","ESP",1988,1010.59999950975,NA,62.3333333333333,3,NA,NA
"11","ABW","ESP",1989,161.300003051758,NA,62.3333333333333,3,NA,NA
"12","ABW","HKG",2012,33.9999999403954,NA,NA,NA,NA,NA
"13","ABW","HKG",2013,151.899998307228,NA,NA,NA,NA,NA
"14","ABW","HKG",2014,234.199998021126,NA,NA,NA,NA,NA
"15","ABW","HKG",2015,230.499999701977,NA,NA,NA,NA,NA
"16","ABW","KWT",2011,1.99999995529652,NA,68,5,NA,NA
"17","ABW","NLD",2009,0.400000005960464,NA,66.5,4,NA,NA
"18","ABW","NLD",2015,10.1999997198582,NA,66.5,4,NA,NA
"19","ABW","PHL",1998,456.300000332296,NA,64,4,NA,NA
"20","ABW","PRT",1990,26.2000004798174,NA,63,3,NA,NA
"21","ABW","PRT",1991,314.900000825524,NA,63,3,NA,NA
"22","ABW","SUR",2002,88.1000031232834,NA,62,3,NA,NA
"23","ABW","SUR",2003,2.10000002384186,NA,62,3,NA,NA
"24","ABW","SUR",2005,0.200000002980232,NA,62,3,NA,NA
"25","ABW","SUR",2006,1.29999995231628,NA,62,3,NA,NA
"26","ABW","SYC",2010,15.1999998092651,NA,51,1,NA,NA
"27","ABW","SYC",2011,16.6000003814697,NA,51,1,NA,NA
"28","ABW","USA",1992,395.59999370575,NA,69.75,5,NA,NA
"29","ABW","USA",1993,1358.79999732971,NA,69.75,5,NA,NA
"30","ABW","USA",1994,1399.89999895543,NA,69.75,5,NA,NA
"31","ABW","USA",1997,345.999999977648,NA,69.75,5,NA,NA
"32","ABW","USA",2001,2.59999990463257,NA,69.75,5,NA,NA
"33","ABW","USA",2002,113.299998283386,NA,69.75,5,NA,NA
"34","ABW","USA",2003,81.0999990701675,NA,69.75,5,NA,NA
"35","ABW","USA",2004,50,NA,69.75,5,NA,NA
"36","ABW","USA",2007,317.79999858886,NA,69.75,5,NA,NA
"37","ABW","VEN",1996,2035.60005465895,NA,58,2,NA,NA
"38","ABW","VEN",1997,2434.89998636395,NA,58,2,NA,NA
"39","ABW","VEN",1998,564.399999648333,NA,58,2,NA,NA
"40","ABW","VEN",2000,89.2000005841255,NA,58,2,NA,NA
"41","ABW","VEN",2001,186.899999842048,NA,58,2,NA,NA
"42","ABW","VEN",2002,207.499999642372,NA,58,2,NA,NA
"43","ABW","VEN",2003,128.300002470613,NA,58,2,NA,NA
"44","ABW","VEN",2004,604.600011840463,NA,58,2,NA,NA
"45","ABW","VEN",2005,93.5999998450279,NA,58,2,NA,NA
"46","ABW","VEN",2006,20.000000230968,NA,58,2,NA,NA
"47","ABW","VEN",2012,118.899999253452,NA,58,2,NA,NA
"48","ABW","YEM",2008,181.699996590614,NA,63,3,NA,NA
"49","AFG","IND",2010,0.600000023841858,NA,59.5,2,NA,NA
"50","AGO","AGO",1993,0.318999990820885,NA,59,2,59,2
"51","AGO","AGO",1994,0.422999996342696,NA,59,2,59,2
"52","AGO","AGO",1995,63.6793339531287,NA,59,2,59,2
"53","AGO","AGO",1996,0.133333340287209,NA,59,2,59,2
"54","AGO","AGO",1997,0.200000002980232,NA,59,2,59,2
"55","AGO","AGO",1999,0.0666666701436043,NA,59,2,59,2
"56","AGO","AGO",2000,26.8676674719318,NA,59,2,59,2
"57","AGO","AGO",2001,30.6653331127018,NA,59,2,59,2
"58","AGO","AGO",2002,9.56699998304248,NA,59,2,59,2
"59","AGO","AGO",2004,7.9666661991505,NA,59,2,59,2
"60","AGO","AGO",2005,0.233333330601454,NA,59,2,59,2
"61","AGO","AGO",2007,0.16666667163372,NA,59,2,59,2
"62","AGO","AGO",2014,124.672002792358,NA,59,2,59,2
"63","AGO","AGO",2015,38.2820019875653,NA,59,2,59,2
"64","AGO","BEN",2003,3.86666685715318,NA,59,2,59,2
"65","AGO","BEN",2013,26.0666664307937,NA,59,2,59,2
"66","AGO","BEN",2014,221.97133831121,NA,59,2,59,2
"67","AGO","BEN",2015,71.1943341940641,NA,59,2,59,2
"68","AGO","CAN",1998,1.29999998956919,NA,68,5,59,2
"69","AGO","CAN",2008,117.50000077486,NA,68,5,59,2
"70","AGO","CHN",1997,1.90000003576279,NA,72,5,59,2
"71","AGO","CHN",1998,3.30000007152557,NA,72,5,59,2
"72","AGO","CHN",2002,0.400000005960464,NA,72,5,59,2
"73","AGO","CHN",2005,122.899998955429,NA,72,5,59,2
"74","AGO","CIV",2013,3994.30337279441,3994.30337279441,53,1,59,2
"75","AGO","CIV",2014,2192.7030130052,2192.7030130052,53,1,59,2
"76","AGO","CIV",2015,156.073329467326,156.073329467326,53,1,59,2
"77","AGO","CMR",1997,72.6376648914884,72.6376648914884,49,1,59,2
"78","AGO","CMR",2001,186.867669670843,186.867669670843,49,1,59,2
"79","AGO","CMR",2002,37.033334360458,37.033334360458,49,1,59,2
"80","AGO","CMR",2003,15.9133333917707,15.9133333917707,49,1,59,2
"81","AGO","CMR",2013,0.0266666673123837,0.0266666673123837,49,1,59,2
"82","AGO","CMR",2014,805.971330202301,805.971330202301,49,1,59,2
"83","AGO","CMR",2015,605.443328619003,605.443328619003,49,1,59,2
"84","AGO","COG",1993,1.58600001875311,1.58600001875311,53,1,59,2
"85","AGO","COG",1994,68.3999995328486,68.3999995328486,53,1,59,2
"86","AGO","COG",1995,32.9333333186805,32.9333333186805,53,1,59,2
"87","AGO","DZA",2006,5.29999991506338,NA,69,5,59,2
"88","AGO","DZA",2007,291.220002843998,NA,69,5,59,2
"89","AGO","DZA",2012,27.5000005960464,NA,69,5,59,2
"90","AGO","DZA",2013,26.199999072589,NA,69,5,59,2
"91","AGO","DZA",2014,48.4326667785645,NA,69,5,59,2
"92","AGO","DZA",2015,1146.56998156104,NA,69,5,59,2
"93","AGO","ESP",1989,20596.5999051034,NA,62.3333333333333,3,59,2
"94","AGO","ESP",1990,6454.79997097701,NA,62.3333333333333,3,59,2
"95","AGO","ESP",1991,426.400003433228,NA,62.3333333333333,3,59,2
"96","AGO","ESP",1992,1029.39999467134,NA,62.3333333333333,3,59,2
"97","AGO","ESP",1993,2987.51400758559,NA,62.3333333333333,3,59,2
"98","AGO","ESP",1994,2894.53334920178,NA,62.3333333333333,3,59,2
"99","AGO","ESP",1995,2383.19201443426,NA,62.3333333333333,3,59,2
"100","AGO","ESP",1996,254.100001916289,NA,62.3333333333333,3,59,2
"101","AGO","ESP",1997,2762.20266310661,NA,62.3333333333333,3,59,2
"102","AGO","ESP",1998,281.399999566376,NA,62.3333333333333,3,59,2
"103","AGO","ESP",1999,4148.83332252974,NA,62.3333333333333,3,59,2
"104","AGO","ESP",2000,1376.4939842145,NA,62.3333333333333,3,59,2
"105","AGO","ESP",2001,9472.03275139135,NA,62.3333333333333,3,59,2
"106","AGO","ESP",2002,143.166667759418,NA,62.3333333333333,3,59,2
"107","AGO","ESP",2003,7.10000000149012,NA,62.3333333333333,3,59,2
"108","AGO","ESP",2005,4907.77399709937,NA,62.3333333333333,3,59,2
"109","AGO","ESP",2006,7680.30000206083,NA,62.3333333333333,3,59,2
"110","AGO","ESP",2007,7332.20473734045,NA,62.3333333333333,3,59,2
"111","AGO","ESP",2008,12301.8209811446,NA,62.3333333333333,3,59,2
"112","AGO","ESP",2009,13084.112318947,NA,62.3333333333333,3,59,2
"113","AGO","ESP",2010,23192.3100046832,NA,62.3333333333333,3,59,2
"114","AGO","ESP",2011,36027.7963850144,NA,62.3333333333333,3,59,2
"115","AGO","ESP",2012,46961.1815562745,NA,62.3333333333333,3,59,2
"116","AGO","ESP",2013,36577.8664730206,NA,62.3333333333333,3,59,2
"117","AGO","ESP",2014,52692.5299960702,NA,62.3333333333333,3,59,2
"118","AGO","ESP",2015,13586.7999031469,NA,62.3333333333333,3,59,2
"119","AGO","GBR",1993,489.300002574921,NA,75.5,5,59,2
"120","AGO","GBR",1995,203.70000063628,NA,75.5,5,59,2
"121","AGO","GBR",1996,0.100000001490116,NA,75.5,5,59,2
"122","AGO","GBR",1997,6.49999981373549,NA,75.5,5,59,2
"123","AGO","GHA",2001,15.4333330541849,15.4333330541849,52,1,59,2
