Country,FMI_weight_adj,FMl
Argentina,0.7,0.71
Bangladesh,0.39,0.36
Brazil,0.33,0.32
Canada,0.81,0.82
Chile,0.66,0.64
China,0.37,0.35
France,0.71,0.73
Iceland,0.9,0.9
India,0.46,0.45
Indonesia,0.43,0.42
Japan,0.61,0.63
Malaysia,0.48,0.45
Mexico,0.58,0.58
Morocco,0.55,0.54
Myanmar,0.21,0.21
New Zealand,0.83,0.83
Nigeria,0.47,0.48
Norway,0.88,0.89
Peru,0.63,0.62
Philippines,0.42,0.4
Russia,0.83,0.84
South Africa,0.81,0.8
South Korea,0.67,0.68
Spain,0.68,0.71
Thailand,0.26,0.23
U.K.,0.75,0.76
United States,0.92,0.92
Vietnam,0.5,0.5
